pollutant_id	pollutant_name	mass_consumption	gdk	rfc	sf	hazard_class
1	Речовини у вигляді суспендованих твердих частинок	4.3800	50.0	0.05		4
2	Оксиди азоту	43.8000	500.0	0.04		4
3	Діоксид сірки	43.8000	500.0	0.08		4
4	Оксид вуглецю	43.8000	250.0	0.25		4
5	Кадмій	0.0088	0.2	0.0002	6.3000	1
6	Ртуть	0.0088	0.2	0.003		1
7	Талій	0.0088	0.2			1
8	Кобальт	0.0438	1.0	0.00005		2
9	Нікель	0.0438	1.0		0.9100	2
10	Селен	0.0438	1.0	0.00008		2
11	Телур	0.0438	1.0			2
12	Стибій	0.2190	5.0			3
13	Свинець	0.2190	5.0	0.00015	0.0420	3
14	Хром (VI)	0.2190	5.0	0.0001	42.0000	3
15	Родій	0.2190	5.0			3
16	Ванадій	0.2190	5.0	0.00007		3
17	Арсен	0.0876	10.0			1
18	Хлороціан	0.0876	10.0	0.0002		1
19	Фосген	0.0876	10.0	0.0003		1
20	Фосфін	0.0876	10.0			1
21	Бром і його пароподібні та газоподібні сполуки	0.4380	50.0			2
22	Фтор і його пароподібні та газоподібні сполуки	0.4380	50.0			2
23	Сірководень	0.4380	50.0			2
24	Берилій	0.00438	0.1	0.0002	8.4	1
25	Акрилонітрил	0.219	5	0.002	0.24	3
26	Бензол	0.219	5	0.06	0.027	3
27	Гідразин	0.219	5	0.0002	17.1	3
28	Вінілхлорид	0.219	5	0.005	0.3	3
29	Хлорбензол	17.52	150	0.059		3
30	Ацетон	17.52	150	30		3
