pollution_id	company	pollutant	emission_mass	concentration	year
1	4	1	4493.21	4.29	2016
2	4	2	20377.71	4.87	2016
3	4	3	64896.37	62.00	2016
4	4	4	579.83	2.22	2016
5	1	1	3003.14	2.87	2016
6	1	2	3248.09	0.78	2016
7	1	3	3905.10	3.73	2016
8	1	4	40408.87	154.43	2016
9	2	1	293.23	0.28	2016
10	2	2	299.20	0.07	2016
11	2	3	981.67	0.94	2016
12	2	4	6977.92	26.67	2016
13	3	1	207.75	0.20	2016
14	3	2	728.12	0.17	2016
15	3	3	66.12	0.06	2016
16	3	4	888.57	3.40	2016
17	4	1	5361.94	5.12	2017
18	4	2	25574.62	6.11	2017
19	4	3	72559.11	69.32	2017
20	4	4	691.19	2.64	2017
21	1	1	2771.17	2.65	2017
22	1	2	3138.18	0.75	2017
23	1	3	3714.45	3.55	2017
24	1	4	40679.88	155.46	2017
25	2	1	266.11	0.25	2017
26	2	2	271.71	0.06	2017
27	2	3	896.08	0.86	2017
28	2	4	6189.54	23.65	2017
29	3	1	235.25	0.22	2017
30	3	2	766.45	0.18	2017
31	3	3	74.19	0.07	2017
32	3	4	845.55	3.23	2017
33	4	1	4994.94	4.77	2018
34	4	2	26296.25	6.28	2018
35	4	3	65009.26	62.11	2018
36	4	4	697.65	2.67	2018
37	1	1	2779.15	2.66	2018
38	1	2	3395.12	0.81	2018
39	1	3	3704.84	3.54	2018
40	1	4	42080.96	160.82	2018
41	2	1	250.95	0.24	2018
42	2	2	256.05	0.06	2018
43	2	3	814.08	0.78	2018
44	2	4	6159.36	23.54	2018
45	3	1	206.33	0.20	2018
46	3	2	687.84	0.16	2018
47	3	3	77.61	0.07	2018
48	3	4	778.10	2.97	2018
49	4	1	4292.69	4.10	2019
50	4	2	22185.16	5.30	2019
51	4	3	70614.49	67.47	2019
52	4	4	619.66	2.37	2019
53	1	1	2695.83	2.58	2019
54	1	2	3438.11	0.82	2019
55	1	3	3717.55	3.55	2019
56	1	4	41879.11	160.05	2019
57	2	1	255.49	0.24	2019
58	2	2	237.84	0.06	2019
59	2	3	770.07	0.74	2019
60	2	4	5767.26	22.04	2019
61	3	1	203.61	0.19	2019
62	3	2	607.08	0.15	2019
63	3	3	70.41	0.07	2019
64	3	4	695.77	2.66	2019
65	4	1	3598.11	3.44	2020
66	4	2	19266.85	4.60	2020
67	4	3	61973.03	59.21	2020
68	4	4	577.55	2.21	2020
69	1	1	2580.98	2.47	2020
70	1	2	3181.81	0.76	2020
71	1	3	3599.39	3.44	2020
72	1	4	40794.53	155.90	2020
73	2	1	190.12	0.18	2020
74	2	2	193.60	0.05	2020
75	2	3	611.33	0.58	2020
76	2	4	4319.88	16.51	2020
77	3	1	209.05	0.20	2020
78	3	2	535.84	0.13	2020
79	3	3	69.27	0.07	2020
80	3	4	661.07	2.53	2020
81	4	1	3993.53	3.82	2021
82	4	2	17062.81	4.08	2021
83	4	3	54083.46	51.67	2021
84	4	4	540.46	2.07	2021
85	1	1	2596.19	2.48	2021
86	1	2	3236.07	0.77	2021
87	1	3	3652.51	3.49	2021
88	1	4	41099.34	157.07	2021
89	2	1	306.65	0.29	2021
90	2	2	231.70	0.06	2021
91	2	3	787.52	0.75	2021
92	2	4	4734.78	18.09	2021
93	3	1	206.08	0.20	2021
94	3	2	520.32	0.12	2021
95	3	3	67.70	0.06	2021
96	3	4	647.10	2.47	2021
97	4	25	93.20	0.09	2016
98	4	26	20.71	0.02	2017
99	1	28	303.14	0.29	2016
100	2	25	293.23	0.28	2018
101	3	25	207.75	0.20	2021
102	3	26	728.12	0.69	2020
103	3	28	66.12	0.06	2016
104	4	25	493.21	0.46	2019
105	4	26	27.71	0.03	2019
106	1	28	30.14	0.03	2019
107	2	25	293.23	0.27	2017
108	3	25	207.75	0.19	2018
109	3	26	128.12	0.12	2020
110	3	28	66.12	0.06	2017
